id,created_at,text
1069621305245409281,2018-12-03 15:56:06,"b'Bob Mueller (who is a much different man than people think) and his out of control band of Angry Democrats, don\xe2\x80\x99t w\xe2\x80\xa6 https://t.co/walb5PaCq0'"
1069619316319035392,2018-12-03 15:48:12,"b'\xe2\x80\x9cI will never testify against Trump.\xe2\x80\x9d This statement was recently made by Roger Stone, essentially stating that he\xe2\x80\xa6 https://t.co/aOL1xK9cp8'"
1069614615510859776,2018-12-03 15:29:31,"b'....his wife and father-in-law (who has the money?) off Scott Free. He lied for this outcome and should, in my opin\xe2\x80\xa6 https://t.co/vmkSYqqFTO'"
1069613383622803456,2018-12-03 15:24:37,"b'\xe2\x80\x9cMichael Cohen asks judge for no Prison Time.\xe2\x80\x9d You mean he can do all of the TERRIBLE, unrelated to Trump, things h\xe2\x80\xa6 https://t.co/6ayRgbMeLe'"
1069588404172726272,2018-12-03 13:45:22,"b'We would save Billions of Dollars if the Democrats would give us the votes to build the Wall. Either way, people wi\xe2\x80\xa6 https://t.co/cgrhkCB02D'"
1069584730880974849,2018-12-03 13:30:46,"b'I am certain that, at some time in the future, President Xi and I, together with President Putin of Russia, will st\xe2\x80\xa6 https://t.co/oecc9gzKNo'"
1069581524180324352,2018-12-03 13:18:01,b'President Xi and I have a very strong and personal relationship. He and I are the only two people that can bring ab\xe2\x80\xa6 https://t.co/eyJGyAO5qH'
1069577273819443200,2018-12-03 13:01:08,b'Farmers will be a a very BIG and FAST beneficiary of our deal with China. They intend to start purchasing agricultu\xe2\x80\xa6 https://t.co/BCWoTM0M5i'
1069575605199482881,2018-12-03 12:54:30,b'My meeting in Argentina with President Xi of China was an extraordinary one. Relations with China have taken a BIG\xe2\x80\xa6 https://t.co/0JYAHXe2HJ'
1069441198157455360,2018-12-03 04:00:25,b'China has agreed to reduce and remove tariffs on cars coming into China from the U.S. Currently the tariff is 40%.'
1069324231333289991,2018-12-02 20:15:38,"b'This week, Jews around the world will celebrate the miracles of Hanukkah. @FLOTUS Melania and I send our very best\xe2\x80\xa6 https://t.co/R0pF2POzL6'"
1068887938761662465,2018-12-01 15:21:58,"b'....However, out of respect for the Bush Family and former President George H.W. Bush we will wait until after the\xe2\x80\xa6 https://t.co/Z7aRSdNxgY'"
1068887935838228480,2018-12-01 15:21:57,b'I was very much looking forward to having a press conference just prior to leaving Argentina because we have had su\xe2\x80\xa6 https://t.co/ckH1IDoCGS'
1068826073775964160,2018-12-01 11:16:08,"b'President George H.W. Bush led a long, successful and beautiful life.  Whenever I was with him I saw his absolute j\xe2\x80\xa6 https://t.co/NV8tJkugEj'"
1068743940755660800,2018-12-01 05:49:46,b'Statement from President Donald J. Trump and First Lady Melania Trump on the Passing of Former President George H.W\xe2\x80\xa6 https://t.co/LZtevLpGvY'
1068705471970902018,2018-12-01 03:16:54,"b'RT @EPN: En mi \xc3\xbaltimo d\xc3\xada como Presidente, me siento muy honrado de haber participado en la firma del nuevo Tratado Comercial entre M\xc3\xa9xico,\xe2\x80\xa6'"
